iter	Logloss
0	0.6061273845
1	0.5471977741
2	0.4881880604
3	0.447227657
4	0.4133027115
5	0.374238273
6	0.3440344642
7	0.3240951671
8	0.3009746078
9	0.2879440431
10	0.2767322512
11	0.2635779046
12	0.2534058519
13	0.2436655464
14	0.2376201617
15	0.2280245181
16	0.2231005504
17	0.2187922808
18	0.213793457
19	0.2098407588
20	0.2048897752
21	0.2005297908
22	0.1981659019
23	0.1957835436
24	0.1945811878
25	0.192409073
26	0.1902961902
27	0.1871713343
28	0.1842251952
29	0.1821231919
30	0.180335721
31	0.1786186186
32	0.1774268177
33	0.1760881841
34	0.1747358723
35	0.1733856563
36	0.1722652513
37	0.1716058555
38	0.1710449282
39	0.1699958582
40	0.1691410893
41	0.1687416687
42	0.1683545333
43	0.1674326725
44	0.1672618312
45	0.1662541998
46	0.1658709408
47	0.1654720289
48	0.1651071738
49	0.1644966674
50	0.1635755576
51	0.1624896427
52	0.162375683
53	0.1619339449
54	0.1612101035
55	0.1608750173
56	0.1607107389
57	0.1603923553
58	0.1599749091
59	0.1596899229
60	0.1595457053
61	0.1592168815
62	0.158848071
63	0.1587482162
64	0.1585207222
65	0.1584402559
66	0.1582826063
67	0.1580576124
68	0.1578617846
69	0.157778588
70	0.1574898756
71	0.1571192654
72	0.1569665177
73	0.1567540531
74	0.1565346137
75	0.1564322851
76	0.1560888639
77	0.155879583
78	0.1557592232
79	0.1554578512
80	0.155260096
81	0.1551586533
82	0.1550338866
83	0.1547988603
84	0.1543402979
85	0.1540712424
86	0.1539540243
87	0.1538537175
88	0.1537325185
89	0.1535330339
90	0.1533844193
91	0.1532594092
92	0.1531025451
93	0.15287532
94	0.1527775345
95	0.152623512
96	0.1524859548
97	0.1524133575
98	0.1523531914
99	0.1521230627
100	0.1520250727
101	0.151914679
102	0.1518288906
103	0.1516955354
104	0.1516406076
105	0.1515681843
106	0.1514116307
107	0.1513336626
108	0.1512774087
109	0.1511754798
110	0.1510941765
111	0.1509911534
112	0.1508949691
113	0.1508242148
114	0.1507803727
115	0.1506174376
116	0.1505146182
117	0.150445312
118	0.1503608777
119	0.1502841031
120	0.150179933
121	0.1500893545
122	0.1499850547
123	0.1499201162
124	0.1498223034
125	0.149769311
126	0.1496886336
127	0.1496378766
128	0.1495725932
129	0.1494731152
130	0.1493493485
131	0.1492683008
132	0.1491927851
133	0.1491122129
134	0.1490127105
135	0.148947671
136	0.1489219038
137	0.1487712613
138	0.1487164285
139	0.1486511421
140	0.1485618678
141	0.1484733943
142	0.1482485878
143	0.1481763182
144	0.1481168001
145	0.148087985
146	0.1480189337
147	0.1478465841
148	0.1477734206
