iter	Passed	Remaining
0	15	15741
1	30	15314
2	45	14995
3	60	15001
4	75	14941
5	90	14986
6	105	14978
7	123	15276
8	140	15445
9	154	15263
10	168	15184
11	186	15333
12	199	15136
13	215	15195
14	229	15083
15	243	14978
16	257	14894
17	272	14844
18	286	14779
19	300	14739
20	316	14736
21	329	14659
22	343	14598
23	358	14567
24	372	14536
25	388	14564
26	426	15356
27	447	15521
28	473	15863
29	498	16124
30	526	16448
31	540	16355
32	555	16270
33	570	16212
34	587	16187
35	609	16315
36	627	16328
37	642	16268
38	660	16277
39	675	16222
40	689	16127
41	703	16049
42	718	15992
43	734	15948
44	749	15902
45	767	15910
46	789	16011
47	811	16096
48	846	16424
49	873	16590
50	892	16608
51	908	16562
52	926	16562
53	941	16500
54	956	16431
55	968	16331
56	985	16298
57	1003	16292
58	1016	16214
59	1029	16132
60	1043	16069
61	1058	16013
62	1073	15962
63	1089	15932
64	1104	15887
65	1118	15834
66	1133	15786
67	1148	15739
68	1162	15690
69	1178	15654
70	1192	15601
71	1206	15544
72	1221	15514
73	1236	15473
74	1250	15420
75	1268	15419
76	1282	15376
77	1296	15325
78	1314	15323
79	1329	15289
80	1343	15247
81	1366	15300
82	1383	15283
83	1398	15247
84	1423	15318
85	1443	15337
86	1465	15382
87	1487	15416
88	1509	15449
89	1529	15461
90	1550	15492
91	1571	15505
92	1590	15514
93	1611	15533
94	1632	15553
95	1655	15586
96	1674	15586
97	1694	15592
98	1717	15631
99	1737	15637
100	1756	15637
101	1779	15663
102	1800	15681
103	1820	15683
104	1838	15674
105	1854	15639
106	1868	15591
107	1883	15557
108	1897	15508
109	1912	15471
110	1928	15445
111	1943	15406
112	1958	15369
113	1972	15328
114	1986	15286
115	2002	15263
116	2024	15279
117	2038	15238
118	2057	15229
119	2072	15200
120	2088	15171
121	2103	15139
122	2118	15105
123	2134	15078
124	2149	15046
125	2165	15022
126	2180	14992
127	2194	14951
128	2208	14913
129	2223	14878
130	2238	14848
131	2252	14814
132	2268	14790
133	2287	14783
134	2309	14798
135	2327	14788
136	2345	14777
137	2366	14779
138	2385	14776
139	2408	14792
140	2429	14800
141	2452	14815
142	2481	14868
143	2519	14977
144	2541	14985
145	2563	14993
146	2584	14997
147	2609	15024
148	2628	15014
149	2647	15002
150	2669	15007
151	2690	15009
152	2716	15040
153	2737	15039
154	2757	15033
155	2776	15022
156	2796	15013
157	2816	15008
158	2837	15006
159	2856	14998
160	2878	14998
161	2899	14999
162	2921	15000
163	2939	14983
164	2960	14980
165	2980	14972
166	3001	14971
167	3018	14949
168	3033	14914
169	3047	14878
170	3062	14848
171	3077	14816
172	3092	14781
173	3106	14748
174	3121	14716
175	3136	14684
176	3150	14649
177	3164	14614
178	3179	14582
179	3194	14550
180	3208	14516
181	3222	14484
182	3237	14454
183	3252	14423
184	3269	14402
185	3284	14374
186	3299	14343
187	3314	14316
188	3329	14286
189	3344	14259
190	3359	14230
191	3376	14208
192	3392	14186
193	3409	14165
194	3424	14138
195	3440	14112
196	3456	14088
197	3469	14053
198	3481	14011
199	3493	13972
200	3505	13934
201	3517	13896
202	3529	13855
203	3540	13815
204	3553	13779
205	3565	13741
206	3576	13701
207	3588	13663
208	3600	13627
209	3612	13589
210	3623	13550
211	3635	13514
212	3647	13476
213	3659	13440
214	3671	13404
215	3683	13367
216	3695	13333
217	3707	13298
218	3718	13260
219	3729	13222
220	3742	13193
221	3754	13157
222	3765	13120
223	3777	13087
224	3789	13051
225	3800	13015
226	3812	12984
227	3824	12949
228	3836	12917
229	3847	12881
230	3860	12850
231	3871	12816
232	3882	12781
233	3895	12753
234	3907	12719
235	3918	12686
236	3930	12652
237	3942	12621
238	3953	12589
239	3965	12556
240	3976	12524
241	3988	12492
242	3998	12457
243	4011	12428
244	4026	12408
245	4042	12389
246	4058	12373
247	4074	12353
248	4088	12330
249	4103	12311
250	4120	12296
251	4138	12283
252	4152	12259
253	4166	12238
254	4182	12218
255	4196	12196
256	4212	12178
257	4228	12161
258	4243	12140
259	4258	12121
260	4271	12095
261	4286	12073
262	4302	12057
263	4320	12043
264	4336	12026
265	4350	12005
266	4367	11990
267	4381	11967
268	4404	11969
269	4416	11941
270	4428	11913
271	4442	11889
272	4454	11861
273	4466	11834
274	4477	11804
275	4489	11777
276	4501	11749
277	4513	11721
278	4525	11693
279	4537	11666
280	4548	11638
281	4560	11610
282	4572	11585
283	4583	11556
284	4595	11529
285	4607	11502
286	4620	11478
287	4632	11453
288	4644	11426
289	4656	11401
290	4669	11377
291	4681	11351
292	4693	11325
293	4704	11297
294	4715	11270
295	4729	11247
296	4740	11221
297	4753	11198
298	4765	11171
299	4777	11148
300	4789	11122
301	4805	11106
302	4817	11082
